poste_GL,ligne_PnL,note
Sous-traitance & prestations externes,Charges externes,
Fournitures & petit équipement,Achats consommés,PCG: achats non stockés -> Achats consommés
"Énergie, eau & carburants",Achats consommés,PCG: achats non stockés -> Achats consommés
"Logiciels, IT & hébergement",Charges externes,
Achats de marchandises,Achats consommés,
Management fees / intra-groupe,Opérations d'exploitation Intra-Groupe,intra-groupe: net à 0 en consolidé
Formation,Charges externes,
Recrutement,Charges externes,
Prestations conseillers TPE,Charges externes,
Locations & crédit-bail,Charges externes,
Entretien & maintenance,Charges externes,
Assurances,Charges externes,
Documentation & cotisations,Charges externes,
Honoraires,Charges externes,
Marketing & communication,Charges externes,
Commissions sur encaissement,Charges externes,PCG: 622 -> Charges externes
"Déplacements, missions & réceptions",Charges externes,
Frais postaux & télécom,Charges externes,
Services bancaires,Charges externes,PCG: 627 -> Charges externes (non financier)
Impôts & taxes d'exploitation,Impôts et taxes,
Charges de personnel,Charges de personnel,
#N/A,Charges de personnel,traceur: complement exact des Charges de personnel P&L (4/5 entites)
Pertes sur créances irrécouvrables,Autres charges d'exploitation,PCG: 654 -> Autres charges d'exploitation
Autres charges de gestion courante,Autres charges d'exploitation,
Charges financières,Charges et produits financiers,
[obsolète] Charges financières,Charges et produits financiers,[obsolete] rattaché à sa nature
[obsolète] Charges exceptionnelles,Charges et produits exceptionnels,[obsolete] rattaché à sa nature
Dotations amort. & provisions,Variations nettes des amortissements et des dépréciations,
Impôts sur les bénéfices & crédits d'impôt,Impôt sur les bénéfices,
